"Job_Link","Title","Industry","Job_Category_parent","Job_Category","Salary_Mode","Min_Salary","Max_Salary","Skills","Job_Type","Work Arrangement","Education","Experience"
"https://glints.com/id/opportunities/jobs/010e1e83-690e-4283-99da-729984dee5e5","Account Manager","Marketing and Advertising","Business Development & Sales","Account Manager","N/A","0","0","Sales Strategy, Client Services, Account Management, Sales and Marketing, Customer Relationship Management","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/95c280c7-6a99-4022-9686-2e54c5f916e4","Field Consultant Pertanian Dumoga","Management Consulting","Consulting","Environment Consultant","MONTH","3000000","4000000","Environmental Monitoring, Agriculture, Project Planning","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/e0af8ad0-aaed-49a3-a1bc-e5a1312b5cfd","Pramuniaga (All Jakarta)","Financial Services","Retail","Store Crew","MONTH","3000000","3200000","Communicative, Customer Service, Store Management, Cashier","CONTRACT","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/7f73fa46-efb2-46be-b4c5-6fcad7161055","Intern Production Support (Video Content)","Marketing and Advertising","Manufacturing & Production","Production Worker","MONTH","1000000","1100000","Media Production, Film & Video Production, Equipment Production","INTERNSHIP","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/0de169b0-5f81-4701-870c-b6a97d89e723","Manager Visual Merchandiser","Apparel & Fashion","Retail","Merchandiser","MONTH","7000000","10000000","Creative Thinking, Adobe Illustrator, SketchUp, Creative Design, Microsoft PowerPoint, Store Display","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/2745d6aa-bc59-49c7-b422-dc82e76d4a3d","Crew Outlet","Restaurants","Retail","Store Crew","N/A","0","0","Customer Service, Store Operations, Store Sales, Cook, Cashier","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/32563358-737c-4519-9bce-887f21d486c1","RESEPSIONIS SPA INGGRIS","Legal Services","Administrative & HR","Receptionist","MONTH","7000000","12000000","Scheduling, Customer Service, Restaurant Reception, Customer Engagement, Reception Consultation, Problem Solving","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/bd740ea9-a30e-4eee-bac6-62fe65757252","IT Digital Transformation","Human Resources","Product Management","Business Analyst","MONTH","10000000","15000000","Process Improvement, Project Management, Business Analysis, Stakeholder Management, Requirements Analysis","FULL_TIME","ONSITE","BACHELOR_DEGREE","5"
"https://glints.com/id/opportunities/jobs/d2c23aa9-0836-46be-8668-be771a56cd2a","Content Creator Internship","Consumer Goods","Marketing","Content Creator","MONTH","1500000","2000000","Content Editing, Content Writing, TikTok","INTERNSHIP","ONSITE","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/027c023f-48fb-4c4d-a57d-df0fa8b2a764","PROJECT SUPERVISOR INTERIOR / SIGNAGE","N/A","Building & Real Estate","Construction Supervisor","MONTH","5000000","6210000","Microsoft Excel, Public Speaking, Administration, Teamwork, Construction Safety, Microsoft Office, Customer Service, Construction Management, Microsoft Word, Construction Site Management","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/4dd90578-2294-405f-9470-717748848852","HOST LIVE + TALENT CONTENT","Food Production","Marketing","Livestreamer","N/A","0","0","Communication Skills, Capcut, Canva Design, Live Streaming","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/800883a4-e42d-4730-a21b-3d69ee911e98","Staff RND","Biotechnology","Chemical Industry","Coatings  R&D (Research and Development)","MONTH","2750000","3250000","Research and Development (R&D), Product Development, Market Research","FULL_TIME","ONSITE","BACHELOR_DEGREE","0"
"https://glints.com/id/opportunities/jobs/30186063-69b8-4aa1-831b-926f155badd2","Accounting & finance","Import and Export","Accounting","Accountant","MONTH","3000000","5000000","Accounting, Microsoft Excel, Tax Accounting","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/e31c5113-9312-4a56-884e-8084cc42defc","Social Media & Content Creator Specialist","Electrical/Electronic Manufacturing","Marketing","Content Creator","MONTH","4500000","5500000","Social Media, Marketing Strategy, Digital Marketing, Content Strategy, Content Marketing, Marketing Communications","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/42797c77-adca-464f-b904-de600dd9c67f","Freelance Talent Video Pembelajaran","E-Learning","Marketing","Content Creator","MONTH","3500000","4000000","Content Marketing, Image Editing, Content Writing, Public Speaking","PROJECT_BASED","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/82cc6b07-b80c-401d-be76-62cae05247dc","Sales Engineer (West Jakarta)","Information Technology and Services","Business Development & Sales","Sales Representative","MONTH","5000000","7000000","Presentation Skills, Customer Engagement, Sales and Marketing, Customer Relationship Management, Teamwork, Sales Management, Customer Service, Negotiation Skills, Account Management, Sales Strategy, Research Skills, Communication Skills","FULL_TIME","HYBRID","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/052d377c-c477-4347-811f-cdad6fa36353","Field Education Consultant","Education Management","Business Development & Sales","Education Consultant","MONTH","2900000","3000000","Communication Skills, Education Administration, Education Consulting, Sales and Marketing, Marketing Communications","FULL_TIME","ONSITE","BACHELOR_DEGREE","0"
"https://glints.com/id/opportunities/jobs/61db4b45-9b18-4e83-a2b7-5332e0b8d29d","Office Driver","Information Technology and Services","Supply Chain, Logistics & Transportation","Taxi Driver","MONTH","4500000","5500000","Driver Training, Communication, Teamwork, Vehicle Maintenance, Customer Service, Driving","FULL_TIME","ONSITE","HIGH_SCHOOL","3"
"https://glints.com/id/opportunities/jobs/210c8fea-b4d7-439e-bd47-07e26f3a9856","English Tutor / Pengajar Bahasa Inggris - Jakarta (Full Time)","Education Management","Education & Training","Tutor","N/A","0","0","Language Teaching, Communication Skills, English Language","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/04348577-283b-4003-b308-d0a3203c14b4","EVENT SALES & MARKETING (Project Based)","Entertainment","Business Development & Sales","Sales Representative","N/A","0","0","Customer Service, Customer Relationship Management, Account Management, Customer Engagement, Sales Strategy, Sales Management, B2B Sales, Sales and Marketing, Communication Skills, B2C Sales","CONTRACT","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/6fbd3def-9be3-47e7-8956-973767d188c9","Sales Manager - Banyuwangi","Financial Services","Sales Management","Sales Manager","MONTH","4000000","30000000","Business Negotiation, Sales and Marketing, Sales Strategy, Sales Forecasting","FULL_TIME","REMOTE","HIGH_SCHOOL","3"
"https://glints.com/id/opportunities/jobs/f9d4c9d8-cbb3-4644-a7bc-dcb8098d2561","Landing Page","Marketing and Advertising","Computer & Software","Frontend Developer","N/A","0","0","HTML, JavaScript, Frontend Development, CSS","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/35647795-67a3-469d-890d-77a514a0496d","Kitchen / Dapur","N/A","Services Industry","Kitchen Staff","MONTH","2000000","3000000","Customer Service, Cook, Teamwork","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/57e40b2d-4297-498b-a456-12f45c880616","Sales Marketing","Education Management","Business Development & Sales","Sales Representative","N/A","0","0","B2B Sales, Sales and Marketing, Sales Strategy, B2C Sales, Customer Relationship Management","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/6e284dc8-e793-4ada-a9dd-f26c9e6d28a1","Video Editor Intern (Unpaid)","E-Learning","Film & Television Media","Film & Video Editor","MONTH","1000000","1100000","Motion Graphics, Adobe After Effects, Visual Storytelling","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
